,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
49,107,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,34.3,0.0,0.7,0.0,2019-11-07
50,106,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-11
51,106,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-14
52,107,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-23
53,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-13
54,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-08-20
55,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-09-23
56,109,3.61,0.18,0.0525,3.61,3.61,3.61,-3610.0,5.2,3.43,3.43,2.87,5.2,5.99,4.78,5.14,5.63,4.74,4.78,5.12,5.14,4.44,DOWNTREND,DOWNTREND,DOWNTREND,34.1996,-0.1558,0.0961,HIGH,-218.4178,0.0,-89.8305,3540.0,4773.33,6680.0,17719.0,23726.47,32242.85,White Marubozu,None,Three White Soldiers,-0.3044,0.0525,0.0525,-490.0,-159140.0,-156145.0,-111185.0,0.0,0.07,0.0,51.57,0.0,0.74,0.0,2019-12-18
57,106,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-08
58,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-08-19
59,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-09-20
60,109,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.07,0.0,49.0,0.0,0.7,0.0,2019-12-04
61,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-14
62,105,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-01
63,109,3.61,0.18,0.0525,3.61,3.61,3.61,-3610.0,5.2,3.43,3.43,2.87,5.2,5.99,4.78,5.14,5.63,4.74,4.78,5.12,5.14,4.44,DOWNTREND,DOWNTREND,DOWNTREND,34.1996,-0.1558,0.0961,HIGH,-218.4178,0.0,-89.8305,3540.0,4773.33,6680.0,17719.0,23726.47,32242.85,White Marubozu,None,Three White Soldiers,-0.3044,0.0525,0.0525,-490.0,-159140.0,-156145.0,-111185.0,0.0,0.07,0.0,51.57,0.0,0.74,0.0,2019-12-20
64,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-09-19
65,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-08-23
66,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-09-05
67,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-08-16
68,106,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-09
69,105,5.2,0.25,0.0505,5.2,5.2,5.2,5200.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.25,5.66,4.73,5.05,5.26,5.2,4.45,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1278,0.052000000000000005,HIGH,59.2378,78.5714,0.0,6380.0,7853.33,7390.0,32063.5,37863.67,36097.6,White Marubozu,None,None,0.0019,0.0505,0.0505,-5200.0,-153450.0,-150455.0,-105495.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-09-25
70,106,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-21
71,107,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,34.3,0.0,0.7,0.0,2019-11-12
72,108,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.07,0.0,49.0,0.0,0.7,0.0,2019-11-27
73,105,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-02
74,109,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.07,0.0,49.0,0.0,0.7,0.0,2019-12-13
75,109,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.07,0.0,49.0,0.0,0.7,0.0,2019-12-06
76,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-08-27
77,109,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.07,0.0,49.0,0.0,0.7,0.0,2019-12-05
78,105,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-04
79,109,3.61,0.18,0.0525,3.61,3.61,3.61,-3610.0,5.2,3.43,3.43,2.87,5.2,5.99,4.78,5.14,5.63,4.74,4.78,5.12,5.14,4.44,DOWNTREND,DOWNTREND,DOWNTREND,34.1996,-0.1558,0.0961,HIGH,-218.4178,0.0,-89.8305,3540.0,4773.33,6680.0,17719.0,23726.47,32242.85,White Marubozu,None,Three White Soldiers,-0.3044,0.0525,0.0525,-490.0,-159140.0,-156145.0,-111185.0,0.0,0.07,0.0,51.57,0.0,0.74,0.0,2019-12-26
80,105,5.2,0.25,0.0505,5.2,5.2,5.2,5200.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.25,5.66,4.73,5.05,5.26,5.2,4.45,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1278,0.052000000000000005,HIGH,59.2378,78.5714,0.0,6380.0,7853.33,7390.0,32063.5,37863.67,36097.6,White Marubozu,None,None,0.0019,0.0505,0.0505,-5200.0,-153450.0,-150455.0,-105495.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-09-27
81,109,3.61,0.18,0.0525,3.61,3.61,3.61,-3610.0,5.2,3.43,3.43,2.87,5.2,5.99,4.78,5.14,5.63,4.74,4.78,5.12,5.14,4.44,DOWNTREND,DOWNTREND,DOWNTREND,34.1996,-0.1558,0.0961,HIGH,-218.4178,0.0,-89.8305,3540.0,4773.33,6680.0,17719.0,23726.47,32242.85,White Marubozu,None,Three White Soldiers,-0.3044,0.0525,0.0525,-490.0,-159140.0,-156145.0,-111185.0,0.0,0.07,0.0,51.57,0.0,0.74,0.0,2019-12-16
82,105,4.95,-0.05,-0.01,5.18,4.95,5.18,0.0,5.99,4.5,4.5,4.36,5.2,5.99,5.0,5.27,5.67,4.71,5.03,5.26,5.2,4.45,DOWNTREND,DOWNTREND,DOWNTREND,47.3806,-0.1393,0.0549,HIGH,8.2821,69.0476,-35.7143,6680.0,8053.33,7460.0,33423.5,38838.33,36486.35,Black Marubozu,Bearish Engulfing,None,-0.0462,-0.01,-0.01,-10400.0,-158650.0,-155655.0,-110695.0,0.0,0.1,2.3333,49.5,0.0,1.01,0.0,2019-08-30
83,108,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.07,0.0,49.0,0.0,0.7,0.0,2019-11-19
84,109,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.07,0.0,49.0,0.0,0.7,0.0,2019-12-11
85,109,3.61,0.18,0.0525,3.61,3.61,3.61,-3610.0,5.2,3.43,3.43,2.87,5.2,5.99,4.78,5.14,5.63,4.74,4.78,5.12,5.14,4.44,DOWNTREND,DOWNTREND,DOWNTREND,34.1996,-0.1558,0.0961,HIGH,-218.4178,0.0,-89.8305,3540.0,4773.33,6680.0,17719.0,23726.47,32242.85,White Marubozu,None,Three White Soldiers,-0.3044,0.0525,0.0525,-490.0,-159140.0,-156145.0,-111185.0,0.0,0.07,0.0,51.57,0.0,0.74,0.0,2019-12-27
86,108,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.07,0.0,49.0,0.0,0.7,0.0,2019-11-28
87,107,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,34.3,0.0,0.7,0.0,2019-11-18
88,106,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-17
89,107,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-10-28
90,108,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.07,0.0,49.0,0.0,0.7,0.0,2019-11-25
91,109,3.61,0.18,0.0525,3.61,3.61,3.61,-3610.0,5.2,3.43,3.43,2.87,5.2,5.99,4.78,5.14,5.63,4.74,4.78,5.12,5.14,4.44,DOWNTREND,DOWNTREND,DOWNTREND,34.1996,-0.1558,0.0961,HIGH,-218.4178,0.0,-89.8305,3540.0,4773.33,6680.0,17719.0,23726.47,32242.85,White Marubozu,None,Three White Soldiers,-0.3044,0.0525,0.0525,-490.0,-159140.0,-156145.0,-111185.0,0.0,0.07,0.0,51.57,0.0,0.74,0.0,2019-12-19
92,107,5.2,0.0,0.0,5.2,5.2,5.2,-2080.0,5.2,4.5,4.95,4.5,5.99,6.24,4.99,5.24,5.67,4.74,5.06,5.26,5.2,4.46,UPTREND,DOWNTREND,DOWNTREND,51.4839,-0.1143,0.0483,NEUTRAL,59.4744,88.0952,0.0,5620.0,6280.0,7400.0,28326.5,30597.0,36149.5,White Marubozu,Bullish Harami,None,0.0019,0.0505,0.0,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,52.0,0.0,1.06,0.0,2019-11-05
93,107,3.43,-1.77,-0.3404,3.43,3.43,3.43,0.0,5.2,3.43,2.86,2.56,5.2,5.99,4.86,5.19,5.65,4.74,4.91,5.19,5.17,4.45,UPTREND,DOWNTREND,DOWNTREND,31.3865,-0.1284,0.1048,HIGH,-320.4221,66.6667,-100.0,3470.0,5640.0,7395.0,17513.7,27687.13,36068.35,White Marubozu,None,Three White Soldiers,-0.3391,-0.3404,-0.3404,3120.0,-155530.0,-152535.0,-107575.0,0.0,0.1,2.3333,34.3,0.0,0.7,0.0,2019-11-11
0,108,3.8,0.19,0.0526,3.81,3.8,3.81,0.0,5.2,3.43,3.43,2.85,5.2,5.99,4.65,5.07,5.61,4.75,4.59,5.02,5.08,4.43,DOWNTREND,DOWNTREND,DOWNTREND,37.3443,-0.2227,0.0824,HIGH,-123.1001,0.0,-79.096,3630.0,5240.0,6630.0,16385.0,25079.13,31175.35,Black Marubozu,None,None,0.0526,0.0526,0.0526,-5690.0,-140340.0,-156145.0,-111185.0,0.0,0.0,0.0,54.29,0.0,0.78,0.0,2020-06-24
1,108,3.8,0.19,0.0526,3.81,3.8,3.81,0.0,5.2,3.43,3.43,2.85,5.2,5.99,4.65,5.07,5.61,4.75,4.59,5.02,5.08,4.43,DOWNTREND,DOWNTREND,DOWNTREND,37.3443,-0.2227,0.0824,HIGH,-123.1001,0.0,-79.096,3630.0,5240.0,6630.0,16385.0,25079.13,31175.35,Black Marubozu,None,None,0.0526,0.0526,0.0526,-5690.0,-140340.0,-156145.0,-111185.0,0.0,0.0,0.0,54.29,0.0,0.78,0.0,2020-05-21
2,108,3.8,0.19,0.0526,3.81,3.8,3.81,0.0,5.2,3.43,3.43,2.85,5.2,5.99,4.65,5.07,5.61,4.75,4.59,5.02,5.08,4.43,DOWNTREND,DOWNTREND,DOWNTREND,37.3443,-0.2227,0.0824,HIGH,-123.1001,0.0,-79.096,3630.0,5240.0,6630.0,16385.0,25079.13,31175.35,Black Marubozu,None,None,0.0526,0.0526,0.0526,-5690.0,-140340.0,-156145.0,-111185.0,0.0,0.0,0.0,54.29,0.0,0.78,0.0,2020-05-12
3,110,3.61,0.0,0.0,3.61,3.61,3.61,0.0,5.2,3.43,3.43,2.85,5.2,5.99,4.71,5.09,5.62,4.74,4.67,5.06,5.11,4.43,DOWNTREND,DOWNTREND,DOWNTREND,34.1996,-0.1898,0.0892,HIGH,-178.3808,0.0,-89.8305,2840.0,4973.33,6430.0,13386.0,24303.13,30644.35,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.0,0.0,-490.0,-159140.0,-156145.0,-111185.0,0.0,0.0,0.0,51.57,0.0,0.74,0.0,2020-02-07
4,110,3.61,0.0,0.0,3.61,3.61,3.61,0.0,5.2,3.43,3.43,2.85,5.2,5.99,4.71,5.09,5.62,4.74,4.67,5.06,5.11,4.43,DOWNTREND,DOWNTREND,DOWNTREND,34.1996,-0.1898,0.0892,HIGH,-178.3808,0.0,-89.8305,2840.0,4973.33,6430.0,13386.0,24303.13,30644.35,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.0,0.0,-490.0,-159140.0,-156145.0,-111185.0,0.0,0.0,0.0,51.57,0.0,0.74,0.0,2020-02-13
